Column1,reform,district,population,child_population,young_child_population,metric_name,metric_value,mappable_measures.current|new|change,mappable_measures.demog,mappable_measures.pov|deep_pov,monthly_benefit,target_demog
143,"Young Children 100","030",133756.55459118503,28419.482580628835,8782.2842459048043,"child_pov_change",0,"change in","child","pov","100","Young Children"
143,"Young Children 100","030",133756.55459118503,28419.482580628835,8782.2842459048043,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
143,"Young Children 100","030",133756.55459118503,28419.482580628835,8782.2842459048043,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
143,"Young Children 100","030",133756.55459118503,28419.482580628835,8782.2842459048043,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
144,"Young Children 100","033",145629.0160642016,33012.007005937645,8479.4744565959336,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
144,"Young Children 100","033",145629.0160642016,33012.007005937645,8479.4744565959336,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
145,"Young Children 100","028",153445.79015279879,36302.886635973045,8134.7281513871967,"total_pov_change",0,"change in","total","pov","100","Young Children"
145,"Young Children 100","028",153445.79015279879,36302.886635973045,8134.7281513871967,"child_pov_change",0,"change in","child","pov","100","Young Children"
145,"Young Children 100","028",153445.79015279879,36302.886635973045,8134.7281513871967,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
145,"Young Children 100","028",153445.79015279879,36302.886635973045,8134.7281513871967,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
145,"Young Children 100","028",153445.79015279879,36302.886635973045,8134.7281513871967,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
148,"Young Children 200","036",137998.50638469058,27920.790532813553,6638.5901737524446,"total_pov_change",0,"change in","total","pov","200","Young Children"
148,"Young Children 200","036",137998.50638469058,27920.790532813553,6638.5901737524446,"child_pov_change",0,"change in","child","pov","200","Young Children"
148,"Young Children 200","036",137998.50638469058,27920.790532813553,6638.5901737524446,"young_child_pov_change",0,"change in","young_child","pov","200","Young Children"
148,"Young Children 200","036",137998.50638469058,27920.790532813553,6638.5901737524446,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
148,"Young Children 200","036",137998.50638469058,27920.790532813553,6638.5901737524446,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
153,"Young Children 200","023",133548.15767913003,27862.335125054648,6988.339586682655,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
153,"Young Children 200","023",133548.15767913003,27862.335125054648,6988.339586682655,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
154,"Young Children 200","024",130034.15953075975,28421.306083763156,7178.4315357458217,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
154,"Young Children 200","024",130034.15953075975,28421.306083763156,7178.4315357458217,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
159,"Young Children 200","045",117771.95295508276,24269.640233569524,7359.3565844502846,"total_pov_change",0,"change in","total","pov","200","Young Children"
159,"Young Children 200","045",117771.95295508276,24269.640233569524,7359.3565844502846,"child_pov_change",0,"change in","child","pov","200","Young Children"
159,"Young Children 200","045",117771.95295508276,24269.640233569524,7359.3565844502846,"young_child_pov_change",0,"change in","young_child","pov","200","Young Children"
159,"Young Children 200","045",117771.95295508276,24269.640233569524,7359.3565844502846,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
159,"Young Children 200","045",117771.95295508276,24269.640233569524,7359.3565844502846,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
163,"Young Children 200","035",138772.6739831373,29334.717660360671,7224.587102113348,"total_pov_change",0,"change in","total","pov","200","Young Children"
163,"Young Children 200","035",138772.6739831373,29334.717660360671,7224.587102113348,"child_pov_change",0,"change in","child","pov","200","Young Children"
163,"Young Children 200","035",138772.6739831373,29334.717660360671,7224.587102113348,"young_child_pov_change",0,"change in","young_child","pov","200","Young Children"
163,"Young Children 200","035",138772.6739831373,29334.717660360671,7224.587102113348,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
163,"Young Children 200","035",138772.6739831373,29334.717660360671,7224.587102113348,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
174,"Young Children 200","003",140518.83013425834,30562.05982737942,8474.6194131600951,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
174,"Young Children 200","003",140518.83013425834,30562.05982737942,8474.6194131600951,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
176,"Young Children 200","012",130908.08116763597,30119.172576573583,8139.57585812543,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
176,"Young Children 200","012",130908.08116763597,30119.172576573583,8139.57585812543,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
178,"Young Children 200","006",125611.7874249458,26627.900369576055,6495.668314121458,"total_pov_change",0,"change in","total","pov","200","Young Children"
178,"Young Children 200","006",125611.7874249458,26627.900369576055,6495.668314121458,"child_pov_change",0,"change in","child","pov","200","Young Children"
178,"Young Children 200","006",125611.7874249458,26627.900369576055,6495.668314121458,"young_child_pov_change",0,"change in","young_child","pov","200","Young Children"
179,"Young Children 200","008",131122.27886295505,27579.985376932043,8905.3861816061562,"total_pov_change",0,"change in","total","pov","200","Young Children"
179,"Young Children 200","008",131122.27886295505,27579.985376932043,8905.3861816061562,"child_pov_change",0,"change in","child","pov","200","Young Children"
179,"Young Children 200","008",131122.27886295505,27579.985376932043,8905.3861816061562,"young_child_pov_change",0,"change in","young_child","pov","200","Young Children"
